,berry_x,observation_date,main_tree_type,year,week_number,monthday,lat_x,lon_x,temp,dew,humidity,pressure,cloudcover,solarradiation,solarenergy,uvindex,county,wd_pro_limit,wood_qualty,city_name,region,altitude,berry_x_num,main_tree_type_num,forest_development_class_num
0,bilberry,2018-07-07,pine,2018,27,707,63.476942248701455,25.193478894289928,17.5,12.7,74.5,1009.1,33.3,296.2,23.3,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
1,lingonberry,2018-08-06,pine,2018,32,806,63.476942248701455,25.193478894289928,13.9,10.4,80.1,1000.5,69.5,169.3,10.4,4.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
2,cloudberry,2018-07-07,pine,2018,27,707,63.476942248701455,25.193478894289928,17.5,12.7,74.5,1009.1,33.3,296.2,23.3,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
3,bilberry,2022-07-16,pine,2022,28,716,63.476942248701455,25.193478894289928,13.7,9.8,79.1,1001.8,76.4,257.3,17.7,6.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
4,lingonberry,2022-08-28,pine,2022,34,828,63.476942248701455,25.193478894289928,14.4,12.1,87.1,1015.9,80.8,203.6,6.5,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
5,cloudberry,2022-07-16,pine,2022,28,716,63.476942248701455,25.193478894289928,13.7,9.8,79.1,1001.8,76.4,257.3,17.7,6.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
6,bilberry,2019-07-20,pine,2019,29,720,63.476942248701455,25.193478894289928,15.9,9.8,70.7,1014.7,14.1,291.6,20.9,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
7,lingonberry,2019-08-18,pine,2019,33,818,63.476942248701455,25.193478894289928,16.4,12.8,79.6,1011.0,77.3,132.3,7.5,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
8,cloudberry,2019-07-20,pine,2019,29,720,63.476942248701455,25.193478894289928,15.9,9.8,70.7,1014.7,14.1,291.6,20.9,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
9,bilberry,2020-07-14,pine,2020,29,714,63.476942248701455,25.193478894289928,11.7,8.2,81.0,1012.8,60.9,162.5,11.6,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,1,1,1
10,lingonberry,2020-08-17,pine,2020,34,817,63.476942248701455,25.193478894289928,10.3,5.5,74.4,1013.4,17.5,296.1,18.0,7.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,3,1,1
11,cloudberry,2020-07-14,pine,2020,29,714,63.476942248701455,25.193478894289928,11.7,8.2,81.0,1012.8,60.9,162.5,11.6,5.0,13.0,3.0,1.5,Pihtipudas,Western Finland Province,133.97848510742188,2,1,2
12,bilberry,2018-07-16,spruce,2018,29,716,63.7255682905868,23.962165686083218,20.6,12.7,64.3,1016.5,3.1,None,None,None,16.0,2.8421052631578947,1.9047619047619049,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,83.34335327148438,1,2,1
13,bilberry,2021-08-01,pine,2021,30,801,63.7255682905868,23.962165686083218,14.4,12.5,89.6,996.7,55.0,None,None,None,16.0,2.8421052631578947,1.9047619047619049,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,83.34335327148438,1,1,3
14,lingonberry,2021-08-15,pine,2021,32,815,63.7255682905868,23.962165686083218,13.1,11.4,89.8,996.6,50.4,None,None,None,16.0,2.8421052631578947,1.9047619047619049,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,83.34335327148438,3,1,3
15,bilberry,2020-07-28,pine,2020,31,728,63.7255682905868,23.962165686083218,16.7,14.8,89.0,1013.6,85.9,None,None,None,16.0,2.8421052631578947,1.9047619047619049,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,83.34335327148438,1,1,1
16,bilberry,2018-07-17,spruce,2018,29,717,65.81137094835535,25.25010303625488,23.4,13.1,57.7,1019.2,0.7,None,None,None,19.0,2.769230769230769,2.333333333333333,Simo,Lapland,72.81657409667969,1,2,3
17,cloudberry,2018-07-17,birch,2018,29,717,65.81137094835535,25.25010303625488,23.4,13.1,57.7,1019.2,0.7,None,None,None,19.0,2.769230769230769,2.333333333333333,Simo,Lapland,72.81657409667969,2,3,2
18,bilberry,2018-07-19,spruce,2018,29,719,66.44357657238494,25.654530691515745,25.8,11.5,43.1,1017.6,9.7,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,1,2,1
19,lingonberry,2018-08-27,pine,2018,35,827,66.44357657238494,25.654530691515745,11.6,9.3,87.1,1006.1,61.4,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,3,1,2
20,cloudberry,2018-07-29,pine,2018,30,729,66.44357657238494,25.654530691515745,21.5,14.5,66.5,1025.6,29.0,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,2,1,2
21,bilberry,2022-07-26,spruce,2022,30,726,66.44357657238494,25.654530691515745,16.7,15.5,92.7,1000.2,93.7,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,1,2,3
22,lingonberry,2022-08-21,pine,2022,33,821,66.44357657238494,25.654530691515745,21.6,14.1,62.9,1012.5,48.7,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,3,1,4
23,cloudberry,2022-07-16,pine,2022,28,716,66.44357657238494,25.654530691515745,15.9,12.1,79.5,1000.3,57.3,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,2,1,2
24,bilberry,2021-08-07,spruce,2021,31,807,66.44357657238494,25.654530691515745,17.7,7.6,54.6,1019.1,4.2,264.4,23.0,6.0,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,1,2,3
25,lingonberry,2021-09-07,pine,2021,36,907,66.44357657238494,25.654530691515745,10.4,8.5,89.0,1006.3,76.6,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,3,1,2
26,cloudberry,2021-07-20,pine,2021,29,720,66.44357657238494,25.654530691515745,11.4,3.7,60.1,999.1,45.9,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,2,1,2
27,bilberry,2019-08-04,spruce,2019,31,804,66.44357657238494,25.654530691515745,10.9,2.7,60.6,1011.7,12.2,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,1,2,3
28,lingonberry,2019-09-01,pine,2019,35,901,66.44357657238494,25.654530691515745,16.1,13.7,85.8,1012.5,69.9,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,3,1,2
29,cloudberry,2019-07-30,pine,2019,31,730,66.44357657238494,25.654530691515745,10.0,3.3,63.8,1021.5,55.4,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,2,1,2
30,bilberry,2020-08-03,spruce,2020,32,803,66.44357657238494,25.654530691515745,14.7,8.2,68.5,1005.1,2.4,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,1,2,3
31,lingonberry,2020-08-18,pine,2020,34,818,66.44357657238494,25.654530691515745,11.9,5.3,66.5,1009.7,13.3,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,3,1,2
32,cloudberry,2020-07-21,pine,2020,30,721,66.44357657238494,25.654530691515745,20.0,15.7,76.9,1005.7,53.1,None,None,None,19.0,2.857142857142857,1.1666666666666667,Rovaniemi,Lapland,155.585205078125,2,1,2
33,bilberry,2018-07-20,pine,2018,29,720,63.635949999523234,23.971753502658533,21.9,13.1,61.8,1012.6,22.2,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,1,1,3
34,lingonberry,2018-09-08,pine,2018,36,908,63.635949999523234,23.971753502658533,14.5,11.3,82.4,1022.2,45.9,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,3,1,3
35,bilberry,2022-07-23,pine,2022,29,723,63.635949999523234,23.971753502658533,14.8,12.1,85.1,1010.8,65.8,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,1,1,3
36,lingonberry,2022-09-04,pine,2022,35,904,63.635949999523234,23.971753502658533,7.1,4.1,82.0,1028.3,91.3,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,3,1,3
37,bilberry,2021-08-13,pine,2021,32,813,63.635949999523234,23.971753502658533,14.9,12.0,84.5,1012.2,43.6,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,1,1,3
38,lingonberry,2021-09-01,pine,2021,35,901,63.635949999523234,23.971753502658533,9.9,5.3,73.7,1012.1,43.9,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,3,1,3
39,bilberry,2019-07-18,pine,2019,29,718,63.635949999523234,23.971753502658533,13.5,8.9,76.9,1013.0,28.9,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,1,1,3
40,lingonberry,2019-09-06,pine,2019,36,906,63.635949999523234,23.971753502658533,12.1,8.1,78.1,1005.8,37.1,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,3,1,4
41,cloudberry,2019-07-23,pine,2019,30,723,63.635949999523234,23.971753502658533,19.1,12.7,69.2,1015.5,20.0,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,2,1,2
42,bilberry,2020-08-03,pine,2020,32,803,63.635949999523234,23.971753502658533,13.8,12.8,93.4,1004.3,76.4,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,1,1,3
43,lingonberry,2020-09-13,pine,2020,37,913,63.635949999523234,23.971753502658533,10.5,7.5,82.5,997.2,58.5,None,None,None,16.0,3.0,1.9714285714285715,Kokkola sub-region,Western and Central Finland Regional State Administrative Agency,89.71900939941406,3,1,3
44,bilberry,2018-07-16,pine,2018,29,716,63.353232253327015,23.40143768818008,21.4,12.5,60.9,1016.3,0.9,326.6,23.6,7.0,14.193548387096774,2.838709677419355,1.625,Evijarvi,Western Finland Province,59.94489669799805,1,1,1
45,lingonberry,2018-08-22,pine,2018,34,822,63.353232253327015,23.40143768818008,11.2,5.7,72.2,1013.0,35.4,None,None,None,14.193548387096774,2.838709677419355,1.625,Evijarvi,Western Finland Province,59.94489669799805,3,1,1
46,bilberry,2022-07-27,spruce,2022,30,727,63.353232253327015,23.40143768818008,16.2,13.9,86.7,1000.5,67.3,148.2,10.2,7.0,14.193548387096774,2.838709677419355,1.625,Evijarvi,Western Finland Province,59.94489669799805,1,2,1
47,bilberry,2021-08-03,spruce,2021,31,803,63.353232253327015,23.40143768818008,12.7,8.7,78.4,1002.2,71.8,258.2,16.6,7.0,14.193548387096774,2.838709677419355,1.625,Evijarvi,Western Finland Province,59.94489669799805,1,2,1
48,bilberry,2019-07-30,spruce,2019,31,730,63.353232253327015,23.40143768818008,9.8,4.5,70.4,1018.1,53.7,203.9,14.0,5.0,14.193548387096774,2.838709677419355,1.625,Evijarvi,Western Finland Province,59.94489669799805,1,2,1
49,bilberry,2020-07-27,spruce,2020,31,727,63.353232253327015,23.40143768818008,17.8,11.5,70.1,1017.1,56.7,152.7,13.1,7.0,14.193548387096774,2.838709677419355,1.625,Evijarvi,Western Finland Province,59.94489669799805,1,2,1
50,bilberry,2018-07-20,spruce,2018,29,720,63.39803169438057,26.59971112265592,23.2,14.1,58.3,1012.9,17.9,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,1,2,1
51,lingonberry,2018-07-30,spruce,2018,31,730,63.39803169438057,26.59971112265592,23.1,15.0,61.0,1024.2,0.3,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,3,2,1
52,bilberry,2022-07-24,spruce,2022,29,724,63.39803169438057,26.59971112265592,16.6,11.3,73.1,1010.2,22.3,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,1,2,1
53,lingonberry,2022-08-13,pine,2022,32,813,63.39803169438057,26.59971112265592,14.0,8.6,72.5,1022.9,46.7,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,3,1,1
54,bilberry,2021-07-10,spruce,2021,27,710,63.39803169438057,26.59971112265592,21.9,14.2,63.0,1019.7,55.9,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,1,2,1
55,lingonberry,2021-08-08,spruce,2021,31,808,63.39803169438057,26.59971112265592,16.8,14.5,87.2,1010.4,87.7,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,3,2,1
56,bilberry,2019-07-14,spruce,2019,28,714,63.39803169438057,26.59971112265592,11.7,6.0,70.1,1011.5,75.0,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,1,2,1
57,lingonberry,2019-08-04,spruce,2019,31,804,63.39803169438057,26.59971112265592,11.1,3.6,62.4,1010.0,44.2,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,3,2,1
58,bilberry,2020-07-17,spruce,2020,29,717,63.39803169438057,26.59971112265592,18.4,10.9,64.3,1014.1,18.3,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,1,2,1
59,lingonberry,2020-08-15,spruce,2020,33,815,63.39803169438057,26.59971112265592,18.2,13.0,74.1,1010.3,53.2,None,None,None,11.0,3.0,2.357142857142857,Pielavesi,Regional State Administrative Agency for Eastern Finland,130.71429443359375,3,2,1
60,bilberry,2018-07-21,pine,2018,29,721,60.53170082552993,22.25959626647885,19.8,17.6,87.8,1005.9,78.4,218.6,14.7,6.0,2.0,2.6333333333333333,2.363636363636364,Rusko,Western Finland Province,25.19772148132324,1,1,3
61,lingonberry,2020-08-20,pine,2020,34,820,60.53170082552993,22.25959626647885,18.7,12.1,69.9,1012.8,20.6,299.5,16.1,6.0,2.0,2.6333333333333333,2.363636363636364,Rusko,Western Finland Province,25.19772148132324,3,1,3
62,bilberry,2018-07-23,larch,2018,30,723,60.01813745633756,23.05202805743573,21.3,17.1,78.3,1012.0,34.1,254.1,21.8,7.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,1,4,1
63,lingonberry,2018-08-27,pine,2018,35,827,60.01813745633756,23.05202805743573,14.1,10.6,80.8,1012.4,29.6,168.0,9.1,4.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,3,1,1
64,bilberry,2022-08-02,larch,2022,31,802,60.01813745633756,23.05202805743573,16.6,12.3,77.5,1012.6,27.1,234.8,16.0,8.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,1,4,1
65,lingonberry,2022-08-26,spruce,2022,34,826,60.01813745633756,23.05202805743573,16.4,14.0,85.8,1022.3,76.7,88.8,5.4,2.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,3,2,1
66,bilberry,2021-07-22,larch,2021,29,722,60.01813745633756,23.05202805743573,18.0,10.0,61.5,1013.3,21.7,294.2,20.0,7.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,1,4,1
67,lingonberry,2021-09-01,spruce,2021,35,901,60.01813745633756,23.05202805743573,12.9,6.2,65.7,1014.3,32.1,240.5,13.8,6.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,3,2,1
68,bilberry,2019-08-05,larch,2019,32,805,60.01813745633756,23.05202805743573,14.9,8.5,67.6,1009.3,27.9,204.1,17.4,8.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,1,4,1
69,lingonberry,2019-09-06,pine,2019,36,906,60.01813745633756,23.05202805743573,14.2,10.9,81.3,1010.8,46.0,118.3,10.0,5.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,3,1,1
70,bilberry,2020-07-09,larch,2020,28,709,60.01813745633756,23.05202805743573,13.4,9.3,77.0,1008.0,65.4,244.9,15.0,8.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,1,4,1
71,lingonberry,2020-08-31,pine,2020,36,831,60.01813745633756,23.05202805743573,13.4,11.4,88.0,1009.1,98.3,108.5,3.3,3.0,1.1,2.9,2.375,Bromarf,Southern Finland Province,0.7598609328269958,3,1,1
72,bilberry,2018-07-23,pine,2018,30,723,64.18871371186125,29.264605960494546,21.7,15.7,71.2,1010.3,15.0,None,None,None,18.0,2.952380952380953,1.8666666666666667,Hietapera,Northern Finland Regional State Administrative Agency,187.6360626220703,1,1,1
73,cloudberry,2018-07-23,pine,2018,30,723,64.18871371186125,29.264605960494546,21.7,15.7,71.2,1010.3,15.0,None,None,None,18.0,2.952380952380953,1.8666666666666667,Hietapera,Northern Finland Regional State Administrative Agency,187.6360626220703,2,1,4
74,bilberry,2018-07-22,spruce,2018,29,722,60.600759605210776,24.991134265128306,21.9,16.2,72.8,1007.6,24.8,354.4,23.0,7.0,1.1428571428571428,3.0,1.8823529411764703,Hyvinge,Southern Finland Province,91.03733825683594,1,2,1
75,bilberry,2022-07-22,spruce,2022,29,722,60.600759605210776,24.991134265128306,22.0,16.4,72.6,1013.6,0.1,353.4,23.0,7.0,1.1428571428571428,3.0,1.8823529411764703,Hyvinge,Southern Finland Province,91.03733825683594,1,2,1
76,bilberry,2021-07-21,spruce,2021,29,721,60.600759605210776,24.991134265128306,15.4,6.3,58.2,1012.9,24.8,302.4,19.5,6.0,1.1428571428571428,3.0,1.8823529411764703,Hyvinge,Southern Finland Province,91.03733825683594,1,2,1
77,bilberry,2019-07-06,spruce,2019,27,706,60.600759605210776,24.991134265128306,13.2,10.8,85.8,996.8,81.0,165.6,11.4,5.0,1.1428571428571428,3.0,1.8823529411764703,Hyvinge,Southern Finland Province,91.03733825683594,1,2,1
78,bilberry,2020-07-20,spruce,2020,30,720,60.600759605210776,24.991134265128306,20.4,14.9,72.3,1013.8,70.5,214.6,14.5,6.0,1.1428571428571428,3.0,1.8823529411764703,Hyvinge,Southern Finland Province,91.03733825683594,1,2,1
79,bilberry,2018-07-24,pine,2018,30,724,60.41845239270469,24.82075005995021,21.8,17.0,76.0,1014.7,23.2,270.0,17.4,7.0,1.0,2.9302325581395348,2.25,Nurmijarvi,Southern Finland Province,56.99405670166016,1,1,4
80,bilberry,2018-07-23,pine,2018,30,723,60.331565669914056,25.007707023099314,21.5,15.6,71.4,1012.0,20.5,313.3,20.2,9.0,1.0,2.925925925925926,2.4545454545454546,Koivukylan suuralue,Southern Finland Province,40.9752311706543,1,1,1
81,bilberry,2018-07-06,pine,2018,27,706,62.31497927178256,25.649501497879942,17.0,12.8,77.4,1003.6,74.2,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,1,1,1
82,lingonberry,2018-08-30,pine,2018,35,830,62.31497927178256,25.649501497879942,12.3,10.5,89.1,1019.1,77.7,100.3,8.6,3.0,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,3,1,1
83,lingonberry,2022-08-18,pine,2022,33,818,62.31497927178256,25.649501497879942,19.6,18.3,92.5,1017.7,81.8,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,3,1,1
84,bilberry,2021-07-27,pine,2021,30,727,62.31497927178256,25.649501497879942,22.9,10.0,50.3,1017.5,7.5,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,1,1,1
85,lingonberry,2021-08-28,pine,2021,34,828,62.31497927178256,25.649501497879942,14.0,10.5,79.9,1025.0,72.9,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,3,1,1
86,bilberry,2019-07-27,pine,2019,30,727,62.31497927178256,25.649501497879942,24.3,14.2,58.7,1020.3,0.9,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,1,1,1
87,lingonberry,2019-08-26,pine,2019,35,826,62.31497927178256,25.649501497879942,16.6,12.0,75.3,1020.5,65.4,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,3,1,1
88,bilberry,2020-07-25,pine,2020,30,725,62.31497927178256,25.649501497879942,12.8,11.3,90.8,1005.3,82.3,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,1,1,1
89,lingonberry,2020-08-27,pine,2020,35,827,62.31497927178256,25.649501497879942,10.0,5.8,77.4,1005.0,25.0,None,None,None,13.0,3.0,2.111111111111111,Jyvaskyla,Western Finland Province,139.5906219482422,3,1,1
90,bilberry,2018-07-04,mixed,2018,27,704,65.90716550173002,25.902322065218,15.1,12.2,83.9,1008.0,85.2,None,None,None,19.0,2.8,1.8571428571428568,Ranua,Lapland,118.45296478271484,1,5,3
91,bilberry,2018-07-11,pine,2018,28,711,61.06271598849624,27.74103603364305,19.2,11.7,64.3,1020.5,82.6,None,None,None,9.0,2.96875,1.6666666666666667,Kivijarvi,Southern Finland Province,80.12118530273438,1,1,3
92,lingonberry,2018-09-08,pine,2018,36,908,61.06271598849624,27.74103603364305,16.4,13.9,85.2,1021.0,57.5,None,None,None,9.0,2.96875,1.6666666666666667,Kivijarvi,Southern Finland Province,80.12118530273438,3,1,1
93,bilberry,2019-08-15,pine,2019,33,815,61.06271598849624,27.74103603364305,13.6,10.4,81.5,1007.0,25.2,None,None,None,9.0,2.96875,1.6666666666666667,Kivijarvi,Southern Finland Province,80.12118530273438,1,1,3
94,lingonberry,2019-08-06,pine,2019,32,806,61.06271598849624,27.74103603364305,13.6,5.5,59.4,1005.5,0.6,None,None,None,9.0,2.96875,1.6666666666666667,Kivijarvi,Southern Finland Province,80.12118530273438,3,1,3
95,bilberry,2018-07-24,spruce,2018,30,724,66.53326186021619,25.649684772858805,22.7,16.1,69.8,1013.4,44.5,None,None,None,19.0,2.8181818181818183,1.8571428571428568,Rovaniemi,Lapland,164.5932159423828,1,2,1
96,bilberry,2018-07-25,pine,2018,30,725,60.70362973103107,26.26724698462514,23.1,16.3,69.2,1017.1,12.7,300.7,19.3,7.0,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,1,1,1
97,lingonberry,2018-08-22,pine,2018,34,822,60.70362973103107,26.26724698462514,13.7,6.4,63.5,1016.5,15.7,None,None,None,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,3,1,1
98,bilberry,2019-07-18,spruce,2019,29,718,60.70362973103107,26.26724698462514,17.9,11.2,68.3,1009.4,16.8,None,None,None,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,1,2,3
99,lingonberry,2019-08-25,pine,2019,34,825,60.70362973103107,26.26724698462514,14.1,10.3,79.8,1027.6,12.5,None,None,None,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,3,1,1
100,lingonberry,2019-09-17,pine,2019,38,917,60.70362973103107,26.26724698462514,8.1,6.6,90.6,996.4,87.0,73.8,6.3,3.0,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,3,1,4
101,bilberry,2020-08-31,pine,2020,36,831,60.70362973103107,26.26724698462514,13.1,12.0,93.2,1007.3,96.2,60.4,3.0,2.0,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,1,1,1
102,lingonberry,2020-09-09,pine,2020,37,909,60.70362973103107,26.26724698462514,12.7,11.3,91.7,1005.1,72.6,113.7,5.7,4.0,7.131578947368421,2.973684210526316,1.8333333333333333,Lapinjarvi,Southern Finland Province,52.66814422607422,3,1,1
103,bilberry,2018-07-28,pine,2018,30,728,60.78021463637565,24.97990694675117,23.8,18.7,73.7,1022.8,39.3,163.6,8.3,6.0,5.5,2.9166666666666665,1.7857142857142858,Riihimaki sub-region,Southern Finland Province,123.92195129394533,1,1,3
104,lingonberry,2018-08-31,pine,2018,35,831,60.78021463637565,24.97990694675117,14.8,13.2,90.6,1019.9,87.5,84.2,7.3,2.0,5.5,2.9166666666666665,1.7857142857142858,Riihimaki sub-region,Southern Finland Province,123.92195129394533,3,1,3
105,bilberry,2019-07-10,pine,2019,28,710,60.78021463637565,24.97990694675117,15.2,7.5,63.2,1007.4,42.8,368.4,25.2,8.0,5.5,2.9166666666666665,1.7857142857142858,Riihimaki sub-region,Southern Finland Province,123.92195129394533,1,1,1
106,bilberry,2018-07-16,pine,2018,29,716,60.460426507890666,22.816310845210538,24.2,12.3,52.1,1015.2,5.8,325.9,22.4,8.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,1,1,1
107,lingonberry,2018-09-03,pine,2018,36,903,60.460426507890666,22.816310845210538,16.0,12.8,83.5,1026.8,17.5,216.1,11.7,6.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,3,1,1
108,bilberry,2022-07-13,pine,2022,28,713,60.460426507890666,22.816310845210538,19.2,15.9,81.4,1007.0,83.2,124.8,8.6,7.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,1,1,1
109,lingonberry,2022-09-02,pine,2022,35,902,60.460426507890666,22.816310845210538,9.2,3.3,69.2,1022.6,31.3,130.5,6.9,5.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,3,1,1
110,bilberry,2021-07-19,pine,2021,29,719,60.460426507890666,22.816310845210538,16.4,8.2,59.3,1011.2,51.7,221.8,15.4,7.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,1,1,1
111,lingonberry,2021-08-27,pine,2021,34,827,60.460426507890666,22.816310845210538,13.5,11.4,87.4,1022.0,99.6,73.5,4.0,2.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,3,1,1
112,bilberry,2019-07-12,pine,2019,28,712,60.460426507890666,22.816310845210538,15.4,8.0,66.3,1009.1,38.3,308.2,21.3,7.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,1,1,1
113,lingonberry,2019-08-26,pine,2019,35,826,60.460426507890666,22.816310845210538,18.5,15.6,85.3,1023.3,24.0,233.5,12.6,5.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,3,1,1
114,bilberry,2020-07-15,pine,2020,29,715,60.460426507890666,22.816310845210538,16.3,9.8,69.1,1015.0,27.8,343.8,23.3,8.0,2.0,3.0,2.5454545454545454,Paimio,Western Finland Province,37.467769622802734,1,1,1
