xy,osite,lohko,koeala,kuvio,koko9,koko564,kunta,maku,vv,mluok,fra,alar,kptylm,ojtil,pt,jaksot,khlk,ppa,kasru,klpm,kpituus,ika,kokru,laatu,bm1,bm2,bm1ma,bm2ma,bm1ku,bm2ku,bm1ko,bm2ko,bm1ml,bm2ml,n_l
110000-6710000,0.0,85757.14285714286,3.857142857142857,1.2857142857142858,7.142857142857143,7.142857142857143,736.0,21.0,18.0,3.571428571428572,2.0,1.0,0.0,0.0,1.5714285714285714,1.0,5.0,13.666666666666666,0.0,26.0,133.66666666666666,95.0,0.0,3.0,66.55496453773334,21.3273173367,58.864169506066666,18.354393472366667,6.314570286333333,2.560846972033333,0.0,0.0,1.3762247449333334,0.4120768923,12.0
120000-6660000,0.0,105023.0,4.5,1.0,10.0,10.0,62.0,21.0,18.0,1.5,1.0,1.0,0.0,0.0,2.5,1.0,5.0,12.0,0.0,22.0,92.5,74.0,0.0,4.0,54.120981945,17.538505156,32.8916867875,11.4983636435,5.35507261605,1.73594815645,8.4767705397,2.28770830355,7.3974520015,2.01648505245,25.0
120000-6670000,0.0,241605.11764705885,3.882352941176471,1.2941176470588236,7.0588235294117645,7.0588235294117645,421.9411764705882,21.0,18.0,2.117647058823529,1.7647058823529411,1.0,0.0,0.0,2.5294117647058822,1.1,3.5,13.7,1100.0,16.125,102.0,40.9,2550.0,2.4444444444444446,52.81453356236364,16.281167531272725,28.31709890681818,9.0324022251,9.709982901063636,3.125559199690909,12.62922177299091,3.5181031641,2.1582299818545456,0.6051029423272727,16.11111111111111
120000-6680000,0.0,38418.52173913043,3.217391304347826,1.173913043478261,8.26086956521739,8.26086956521739,438.0,21.0,18.0,2.4782608695652173,1.608695652173913,1.0,0.0,0.0,2.739130434782609,1.0,4.636363636363637,12.823529411764708,1800.0,16.454545454545453,107.52941176470588,65.70588235294117,10200.0,2.090909090909091,39.632733664505885,12.255824899588236,32.18585489261765,9.867995004735294,1.8323341034941176,0.5803698877941176,4.442727390864706,1.5424167490882352,1.1718172770588235,0.2650432579529412,16.5
120000-6690000,0.0,179091.44680851063,3.872340425531915,1.297872340425532,7.23404255319149,7.23404255319149,803.5531914893617,21.0,18.0,3.191489361702128,2.0,1.1785714285714286,0.0,0.04,2.8297872340425534,1.0,4.705882352941177,16.954545454545453,1575.0,22.285714285714285,122.86363636363636,66.0,4500.0,2.533333333333333,45.27127188259583,13.030438860866669,22.9259616025125,6.918066899595833,6.876948866145834,2.2474715133166665,5.5172036226125,1.6286288891833334,9.951157791145834,2.2362715587125,15.095238095238097
120000-6700000,0.0,173134.65789473685,4.026315789473684,1.368421052631579,6.842105263157895,6.842105263157895,756.2631578947369,21.0,18.0,1.8157894736842104,1.3421052631578947,1.4,0.0,0.0,2.6578947368421053,1.0,4.894736842105263,15.384615384615383,2250.0,24.2,124.15384615384616,87.73076923076923,5000.0,2.6,49.51882602494062,15.966884017971877,29.951290292846878,10.2072790940875,11.638864371528124,3.6173665373093753,5.5146996086031255,1.473372624475,2.41397175205625,0.6688657620656251,14.346153846153848
120000-6710000,0.0,79443.0,3.2,1.2,8.0,8.0,736.0,21.0,18.0,3.8,2.2,1.0,0.0,0.0,2.8,1.0,3.0,3.0,1300.0,3.0,49.0,61.5,6600.0,2.0,13.3200995336,5.2943622757,13.09524844645,5.18834103545,0.22485108715,0.10602124025,0.0,0.0,0.0,0.0,7.0
120000-6720000,0.0,91043.0,4.0,1.0,8.333333333333334,9.0,736.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
130000-6660000,0.0,109566.81818181818,3.0,1.2727272727272727,7.363636363636363,7.272727272727272,62.0,21.0,18.0,2.272727272727273,1.9090909090909087,1.3,0.0,0.0,2.090909090909091,1.0,5.0,18.2,0.0,23.5,143.8,71.4,0.0,2.5,44.72529277933334,13.805554988,37.68104424716667,11.70935215365,6.308723459766667,1.8952680814833336,0.4258082434333333,0.1182986247833333,0.3097168291666666,0.0826361282666666,14.4
130000-6670000,0.0,266225.8275862069,4.517241379310345,1.3793103448275863,7.206896551724138,7.241379310344827,62.0,21.0,18.0,2.034482758620689,1.4827586206896552,1.2083333333333333,0.6,0.2,2.6206896551724137,1.2,5.117647058823529,19.9,800.0,23.8,136.3,89.1,800.0,2.4,69.86928503926087,21.44717550916957,50.78380413242608,15.797610402152175,12.854758801682609,3.992535162891304,2.4025063116086955,0.7010608191826087,3.828215793491304,0.9559691249347826,19.35
130000-6680000,0.0,131262.3076923077,3.0,1.2307692307692308,7.6923076923076925,7.6923076923076925,805.7692307692307,21.0,18.0,1.5384615384615383,1.0769230769230769,1.1538461538461535,0.0,0.0,2.1538461538461537,1.181818181818182,4.5,13.181818181818182,0.0,15.0,100.1818181818182,100.36363636363636,0.0,3.0,37.60945383957692,12.424379761646152,26.071076269730767,8.517299727538461,1.9890703160461536,0.6876630387538462,4.104506907907692,1.6811411952538462,5.444800345946154,1.5382758002153845,19.09090909090909
130000-6690000,0.0,341854.9583333333,5.75,1.3333333333333333,7.083333333333333,7.083333333333333,941.0,21.0,18.0,2.7916666666666665,1.75,1.1666666666666667,0.3529411764705882,0.0,2.6666666666666665,1.2,5.0,16.933333333333334,0.0,21.444444444444443,111.2,94.86666666666666,0.0,2.888888888888889,44.4276821208,13.73973631324375,23.9008828596875,7.46800479215,10.372396816675,3.3493868512562504,4.0385161726500005,1.2388399357062498,6.1158862718875,1.6835047341374998,17.533333333333335
130000-6700000,0.0,287948.2083333333,4.25,1.2916666666666667,7.083333333333333,7.083333333333333,941.0,21.0,18.0,2.1666666666666665,1.4583333333333333,1.2857142857142858,0.0,0.0,2.375,1.1111111111111112,4.625,13.11111111111111,0.0,18.428571428571427,85.88888888888889,116.88888888888889,0.0,2.2857142857142856,22.59313287235,7.304761757900001,21.39347706861,6.9427183101,0.8863276392199999,0.26799770148,0.1790939685399999,0.053124279615,0.134234195985,0.040921466685,11.27777777777778
130000-6710000,0.0,161043.0,3.0,1.5,6.0,5.5,941.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
140000-6650000,0.0,100014.0,1.0,1.0,9.0,10.0,62.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
140000-6660000,0.0,110024.0,2.0,1.5,6.0,5.5,62.0,21.0,18.0,2.5,2.0,1.0,0.0,0.0,2.5,1.0,,13.0,0.0,,106.0,146.0,0.0,,44.078833071,15.903715959,36.957351021,13.610767103,4.508983132,1.5525050442,2.6124989177,0.7404438118,0.0,0.0,11.0
140000-6670000,0.0,158083.69696969696,3.0,1.303030303030303,6.96969696969697,6.96969696969697,62.0,21.0,18.0,1.9393939393939397,1.4242424242424243,1.0689655172413792,0.2222222222222222,0.0,2.6666666666666665,1.1304347826086956,5.105263157894737,20.565217391304348,0.0,22.84210526315789,124.56521739130434,80.6086956521739,0.0,2.9473684210526314,44.945381430472,13.481228387684,18.805464572308,6.312344057243999,2.201118383832,0.816559314064,5.257730871600001,1.79253197916,18.681067602572,4.559793037252,16.434782608695652
140000-6680000,0.0,128024.0,5.0,1.0,10.0,10.0,62.0,21.0,18.0,3.0,2.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
140000-6690000,0.0,142034.0,3.0,2.0,2.0,0.0,941.0,21.0,18.0,3.0,3.0,1.0,,,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
140000-6700000,0.0,155044.0,2.0,2.0,2.0,0.0,941.0,21.0,18.0,3.0,3.0,1.0,,,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
140000-6710000,0.0,168044.0,4.0,1.5,5.5,5.0,941.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
150000-6650000,0.0,200015.25,4.0,1.25,7.5,7.5,318.0,21.0,18.0,3.75,2.25,1.0,0.0,0.0,2.75,1.0,6.0,25.0,0.0,22.0,112.0,111.0,0.0,4.0,95.200483368,20.510615321,0.0,0.0,0.0,0.0,0.0,0.0,95.200483368,20.510615321,19.0
150000-6660000,0.0,506016.0,7.428571428571429,1.1428571428571428,8.0,8.0,318.0,21.0,18.0,3.7142857142857135,2.4285714285714284,1.0,0.0,0.0,2.7142857142857144,1.0,6.0,23.0,0.0,29.0,105.0,57.5,0.0,3.0,63.59857933765,20.12010379025,0.0,0.0,35.9469527485,13.423942688,0.0,0.0,27.65162659065,6.69616110275,18.5
150000-6670000,0.0,229021.85714285716,3.857142857142857,1.2857142857142858,7.428571428571429,7.285714285714286,574.0,21.0,18.0,2.7142857142857144,2.571428571428572,1.0,0.0,0.0,1.0,1.0,6.0,13.0,0.0,27.0,127.0,83.0,0.0,4.0,39.645574919,9.2810910333,0.0,0.0,0.0,0.0,39.645574919,9.2810910333,0.0,0.0,3.0
150000-6680000,0.0,129701.0,2.833333333333333,1.0,9.833333333333334,10.0,295.0,21.0,18.0,2.6666666666666665,2.1666666666666665,1.0,0.0,0.0,1.0,1.0,5.0,30.0,0.0,22.0,166.0,53.0,0.0,4.0,164.43869071,38.942581641,0.0,0.0,0.0,0.0,0.0,0.0,164.43869071,38.942581641,31.0
150000-6690000,0.0,362983.52,5.04,1.4,6.36,6.4,295.0,21.0,18.0,2.16,1.48,1.4285714285714286,0.6,0.1,2.84,1.4444444444444444,5.2,21.38888888888889,0.0,22.2,122.72222222222224,88.55555555555556,0.0,3.333333333333333,44.47822746647368,13.838208664710526,32.41046808589474,10.03420533043158,2.062836276894737,0.7741590129473684,7.569400734105264,2.372036067794737,2.435522369552632,0.6578082535894737,15.88888888888889
150000-6700000,0.0,211954.875,3.5416666666666665,1.4583333333333333,6.5,6.416666666666667,295.0,21.0,18.0,2.708333333333333,1.9583333333333333,1.3333333333333333,0.4,0.5333333333333333,2.375,1.2307692307692308,5.222222222222222,14.153846153846152,0.0,22.5,99.0,79.92307692307692,0.0,3.375,29.889003526542854,9.774444102921429,25.667773912542856,8.6035362005,0.1063166247714285,0.0267279253642857,1.8807106286,0.5815493904071428,2.2342023607285717,0.5626305866285713,11.384615384615383
150000-6710000,0.0,166044.0,4.0,1.0,6.0,6.0,295.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
150000-6720000,0.0,170044.0,5.0,1.0,10.0,10.0,35.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
160000-6640000,0.0,93681.66666666669,3.6666666666666665,1.0,9.666666666666666,10.0,318.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
160000-6650000,0.0,99015.0,2.6666666666666665,1.3333333333333333,6.0,6.0,318.0,21.0,18.0,2.6666666666666665,2.5,1.3333333333333333,1.2,0.0,1.0,1.0,4.0,17.0,0.0,10.0,89.0,43.0,0.0,4.0,29.508336141,8.2972937284,0.0,0.0,0.0,0.0,29.508336141,8.2972937284,0.0,0.0,23.0
160000-6660000,0.0,143716.3,3.6,1.4,6.0,6.0,318.0,21.0,18.0,2.6,2.2,1.0,0.0,0.0,2.6,1.0,5.333333333333333,20.0,0.0,13.666666666666666,115.33333333333331,66.33333333333333,0.0,4.0,39.81110825793333,11.715037387166667,0.0,0.0,0.0,0.0,7.6278965063,2.3113964161333334,32.18321175163334,9.403640971066666,21.666666666666668
160000-6670000,0.0,121025.0,2.5,1.0,10.0,10.0,766.0,21.0,18.0,3.0,2.5,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
160000-6680000,0.0,132035.0,3.0,1.0,10.0,10.0,295.0,21.0,18.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,
